Iterations,Accuracy,0,0.0793651
1,0.111111
2,0.111111
3,0.111111
4,0.111111
5,0.111111
6,0.111111
7,0.111111
8,0.111111
9,0.111111
10,0.111111
11,0.111111
12,0.111111
13,0.111111
14,0.349206
15,0.111111
16,0.349206
17,0.349206
18,0.349206
19,0.349206
20,0.349206
21,0.349206
22,0.349206
23,0.349206
24,0.349206
25,0.111111
26,0.111111
27,0.349206
28,0.349206
29,0.111111
30,0.349206
31,0.111111
32,0.349206
33,0.349206
34,0.349206
35,0.349206
36,0.349206
37,0.349206
38,0.349206
39,0.349206
40,0.349206
41,0.349206
42,0.349206
43,0.349206
44,0.349206
45,0.349206
46,0.349206
47,0.349206
48,0.111111
49,0.349206
50,0.349206
51,0.111111
52,0.349206
53,0.111111
54,0.111111
55,0.349206
56,0.349206
57,0.349206
58,0.349206
59,0.349206
60,0.349206
61,0.349206
62,0.349206
63,0.349206
64,0.349206
65,0.349206
66,0.111111
67,0.349206
68,0.349206
69,0.111111
70,0.349206
71,0.349206
72,0.0952381
73,0.349206
74,0.349206
75,0.349206
76,0.349206
77,0.349206
78,0.349206
79,0.111111
80,0.349206
81,0.349206
82,0.349206
83,0.349206
84,0.111111
85,0.111111
86,0.349206
87,0.349206
88,0.111111
89,0.349206
90,0.349206
91,0.349206
92,0.349206
93,0.349206
94,0.349206
95,0.349206
96,0.349206
97,0.349206
98,0.111111
99,0.349206
100,0.349206
101,0.111111
102,0.111111
103,0.349206
104,0.111111
105,0.349206
106,0.111111
107,0.111111
108,0.380952
109,0.349206
110,0.349206
111,0.349206
112,0.111111
113,0.349206
114,0.111111
115,0.111111
116,0.111111
117,0.349206
118,0.349206
119,0.349206
120,0.349206
121,0.349206
122,0.349206
123,0.349206
124,0.349206
125,0.349206
126,0.428571
127,0.111111
128,0.396825
129,0.111111
130,0.349206
131,0.349206
132,0.349206
133,0.349206
134,0.349206
135,0.349206
136,0.349206
137,0.349206
138,0.349206
139,0.428571
140,0.349206
141,0.349206
142,0.333333
143,0.349206
144,0.349206
145,0.349206
146,0.349206
147,0.349206
148,0.349206
149,0.349206
150,0.349206
151,0.349206
152,0.111111
153,0.349206
154,0.349206
155,0.349206
156,0.349206
157,0.349206
158,0.349206
159,0.349206
160,0.349206
161,0.349206
162,0.349206
163,0.111111
164,0.349206
165,0.111111
166,0.349206
167,0.349206
168,0.349206
169,0.349206
170,0.349206
171,0.111111
172,0.349206
173,0.349206
174,0.349206
175,0.349206
176,0.111111
177,0.111111
178,0.349206
179,0.349206
180,0.111111
181,0.349206
182,0.349206
183,0.111111
184,0.349206
185,0.349206
186,0.349206
187,0.349206
188,0.349206
189,0.349206
190,0.349206
191,0.349206
192,0.111111
193,0.349206
194,0.349206
195,0.349206
196,0.349206
197,0.349206
198,0.349206
199,0.349206
200,0.349206
201,0.428571
202,0.349206
203,0.349206
204,0.349206
205,0.349206
206,0.349206
207,0.349206
208,0.349206
209,0.349206
210,0.396825
211,0.349206
212,0.349206
213,0.349206
214,0.349206
215,0.349206
216,0.349206
217,0.349206
218,0.349206
219,0.349206
220,0.428571
221,0.396825
222,0.380952
223,0.349206
224,0.365079
225,0.412698
226,0.428571
227,0.349206
228,0.396825
229,0.349206
230,0.349206
231,0.349206
232,0.349206
233,0.349206
234,0.349206
235,0.428571
236,0.396825
237,0.349206
238,0.349206
239,0.126984
240,0.380952
241,0.444444
242,0.428571
243,0.349206
244,0.349206
245,0.349206
246,0.380952
247,0.301587
248,0.238095
249,0.349206
250,0.349206
251,0.301587
252,0.349206
253,0.365079
254,0.412698
255,0.349206
256,0.301587
257,0.301587
258,0.349206
259,0.111111
260,0.444444
261,0.365079
262,0.349206
263,0.349206
264,0.349206
265,0.396825
266,0.396825
267,0.349206
268,0.349206
269,0.444444
270,0.333333
271,0.444444
272,0.380952
273,0.444444
274,0.349206
275,0.349206
276,0.349206
277,0.349206
278,0.444444
279,0.428571
280,0.365079
281,0.444444
282,0.444444
283,0.444444
284,0.31746
285,0.444444
286,0.444444
287,0.285714
288,0.365079
289,0.444444
290,0.428571
291,0.428571
292,0.396825
293,0.444444
294,0.428571
295,0.444444
296,0.444444
297,0.365079
298,0.380952
299,0.349206
300,0.428571
301,0.206349
302,0.444444
303,0.444444
304,0.31746
305,0.428571
306,0.396825
307,0.396825
308,0.380952
309,0.444444
310,0.428571
311,0.444444
312,0.444444
313,0.349206
314,0.444444
315,0.444444
316,0.444444
317,0.444444
318,0.444444
319,0.444444
320,0.444444
321,0.428571
322,0.444444
323,0.444444
324,0.444444
325,0.428571
326,0.412698
327,0.444444
328,0.428571
329,0.365079
330,0.444444
331,0.444444
332,0.428571
333,0.31746
334,0.444444
335,0.428571
336,0.365079
337,0.301587
338,0.31746
339,0.412698
340,0.365079
341,0.301587
342,0.412698
343,0.365079
344,0.412698
345,0.412698
346,0.428571
347,0.412698
348,0.428571
349,0.444444
350,0.428571
351,0.428571
352,0.412698
353,0.31746
354,0.301587
355,0.31746
356,0.444444
357,0.444444
358,0.444444
359,0.412698
360,0.365079
361,0.380952
362,0.365079
363,0.31746
364,0.380952
365,0.412698
366,0.412698
367,0.444444
368,0.428571
369,0.444444
370,0.428571
371,0.428571
372,0.31746
373,0.365079
374,0.412698
375,0.31746
376,0.380952
377,0.31746
378,0.333333
379,0.285714
380,0.333333
381,0.428571
382,0.412698
383,0.428571
384,0.428571
385,0.412698
386,0.412698
387,0.31746
388,0.269841
389,0.269841
390,0.333333
391,0.31746
392,0.428571
393,0.412698
394,0.349206
395,0.396825
396,0.396825
397,0.349206
398,0.349206
399,0.349206
400,0.412698
401,0.349206
402,0.428571
403,0.428571
404,0.285714
405,0.349206
406,0.349206
407,0.349206
408,0.380952
409,0.428571
410,0.333333
411,0.301587
412,0.31746
413,0.380952
414,0.31746
415,0.412698
416,0.31746
417,0.31746
418,0.31746
419,0.412698
420,0.412698
421,0.349206
422,0.444444
423,0.444444
424,0.444444
425,0.444444
426,0.396825
427,0.444444
428,0.444444
429,0.412698
430,0.380952
431,0.428571
432,0.428571
433,0.444444
434,0.444444
435,0.444444
436,0.47619
437,0.444444
438,0.444444
439,0.444444
440,0.460317
441,0.460317
442,0.507937
443,0.492063
444,0.492063
445,0.460317
446,0.492063
447,0.444444
448,0.47619
449,0.460317
450,0.460317
451,0.444444
452,0.428571
453,0.428571
454,0.444444
455,0.428571
456,0.460317
457,0.460317
458,0.444444
459,0.460317
460,0.460317
461,0.444444
462,0.460317
463,0.444444
464,0.444444
465,0.412698
466,0.412698
467,0.412698
468,0.428571
469,0.412698
470,0.412698
471,0.412698
472,0.444444
473,0.460317
474,0.444444
475,0.460317
476,0.460317
477,0.396825
478,0.460317
479,0.412698
480,0.460317
481,0.460317
482,0.412698
483,0.412698
484,0.412698
485,0.444444
486,0.444444
487,0.412698
488,0.444444
489,0.412698
490,0.428571
